Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID,Level ID,Leverage,Margin
NASDAQ:NVDA,Sell,Limit,10,191.07,,,Cancelled,,2025-12-11 01:42:08,2025-12-11 22:34:24,2548545536,,,
NASDAQ:NVDA,Sell,Stop,10,,178.69,178.67,Filled,,2025-12-11 01:42:08,2025-12-11 22:34:24,2548545535,,,
NASDAQ:NVDA,Buy,Limit,10,182.76,,182.76,Filled,,2025-12-11 01:42:08,2025-12-11 01:42:36,2548545534,,2:1,913.80 USD
FX:GBPUSD,Sell,Limit,200,1.3358,,1.3358,Filled,,2025-12-11 00:38:21,2025-12-11 03:10:55,2548296211,,,
FX:GBPUSD,Sell,Stop,200,,1.33073,,Cancelled,,2025-12-11 00:38:21,2025-12-11 03:10:55,2548296210,,,
FX:GBPUSD,Buy,Limit,100,1.33321,,1.33315,Filled,,2025-12-11 00:38:21,2025-12-11 00:38:21,2548296209,,50:1,2.67 USD
FX:GBPUSD,Sell,Limit,100,1.33626,,,Cancelled,,2025-12-11 00:37:53,2025-12-11 00:38:21,2548293989,,,
FX:GBPUSD,Sell,Stop,100,,1.3305,,Cancelled,,2025-12-11 00:37:53,2025-12-11 00:38:21,2548293988,,,
FX:GBPUSD,Buy,Limit,100,1.33321,,1.33309,Filled,,2025-12-11 00:37:53,2025-12-11 00:37:53,2548293987,,50:1,2.67 USD
CME_MINI:ES1!,Buy,Market,2,,,6864.75,Filled,,2025-12-04 23:45:25,2025-12-04 23:45:25,2529842755,,20:1,"34,323.75 USD"
CME_MINI:ES1!,Buy,Limit,2,6688,,,Cancelled,,2025-11-26 23:51:38,2025-12-04 23:45:25,2506453782,,,
CME_MINI:ES1!,Buy,Stop,2,,6887.75,,Cancelled,,2025-11-26 23:51:38,2025-12-04 23:45:25,2506453781,,,
CME_MINI:ES1!,Sell,Limit,2,6820,,6820,Filled,,2025-11-26 23:51:38,2025-11-26 23:57:12,2506453780,,20:1,"34,100.00 USD"
BITSTAMP:BTCUSD,Buy,Limit,1,84152,,84151,Filled,,2025-11-19 23:35:53,2025-11-21 15:33:28,2481736524,,,
BITSTAMP:BTCUSD,Buy,Stop,1,,94937,,Cancelled,,2025-11-19 23:35:53,2025-11-21 15:33:28,2481736523,,,
BITSTAMP:BTCUSD,Sell,Limit,1,90834,,90835,Filled,,2025-11-19 23:35:53,2025-11-20 07:05:30,2481736522,,10:1,"9,083.40 USD"
OANDA:USDSGD,Sell,Limit,100,1.30877,,,Cancelled,,2025-11-19 23:22:41,2025-11-20 21:30:00,2481646949,,,
OANDA:USDSGD,Sell,Stop,100,,1.30589,1.30565,Filled,,2025-11-19 23:22:41,2025-11-20 21:30:00,2481646948,,,
OANDA:USDSGD,Buy,Limit,100,1.30744,,1.30744,Filled,,2025-11-19 23:22:41,2025-11-20 14:09:42,2481646947,,50:1,2.00 USD
TVC:GOLD,Sell,Limit,100,4243.808,,,Cancelled,,2025-11-19 22:37:30,2025-11-21 15:01:24,2481283797,,,
TVC:GOLD,Sell,Stop,100,,4027.034,4026.94,Filled,,2025-11-19 22:37:30,2025-11-21 15:01:24,2481283796,,,
TVC:GOLD,Buy,Limit,100,4113.743,,4113.453,Filled,,2025-11-19 22:37:30,2025-11-19 22:37:59,2481283795,,50:1,"8,227.49 USD"
TVC:GOLD,Sell,Limit,1001,4059.984,,,Cancelled,,2025-11-03 22:03:03,2025-11-03 22:06:11,2424480006,,,
TVC:GOLD,Sell,Stop,1001,,4001.75,,Cancelled,,2025-11-03 22:03:03,2025-11-03 22:06:11,2424480005,,,
TVC:GOLD,Buy,Limit,1000,4017.24,,4017.22,Filled,,2025-11-03 22:03:03,2025-11-03 22:04:06,2424480004,,50:1,"80,344.80 USD"
TVC:GOLD,Sell,Limit,1,4100.697,,,Cancelled,,2025-11-03 22:00:54,2025-11-03 22:04:06,2424471008,,,
TVC:GOLD,Sell,Stop,1,,3993.179,,Cancelled,,2025-11-03 22:00:54,2025-11-03 22:04:06,2424471007,,,
TVC:GOLD,Buy,Stop,1,,4020.226,4020.27,Filled,,2025-11-03 22:00:54,2025-11-03 22:03:07,2424471006,,50:1,80.40 USD
TVC:GOLD,Sell,Limit,1002,4044.368,,,Cancelled,,2025-11-03 21:57:40,2025-11-03 22:28:33,2424459611,,,
TVC:GOLD,Sell,Stop,1002,,4010.578,4010.575,Filled,,2025-11-03 21:57:40,2025-11-03 22:28:33,2424459610,,,
TVC:GOLD,Buy,Limit,1,4015.018,,4014.98,Filled,,2025-11-03 21:57:40,2025-11-03 22:06:11,2424459609,,50:1,80.30 USD
NASDAQ:NVDA,Sell,Limit,10,219.89,,,Cancelled,,2025-10-29 22:08:51,2025-10-29 23:46:17,2410924374,,,
NASDAQ:NVDA,Sell,Stop,10,,207.04,207.07,Filled,,2025-10-29 22:00:01,2025-10-29 23:46:17,2410853882,,,
NASDAQ:NVDA,Buy,Limit,10,217.23,,212.08,Filled,,2025-10-29 21:59:52,2025-10-29 22:00:25,2410852918,,2:1,"1,086.15 USD"
